Title,Date,Dataset
The Great British Baking Show: The Beginnings: Season 1: Cakes,2/8/2020,zoe
The Great British Baking Show: Holidays: Season 2: The Great Festive Baking Show,2/7/2020,zoe
The Great British Baking Show: Collection 5: The Final of GBBS 2017,2/6/2020,zoe
The Great British Baking Show: Collection 5: Patisserie Week,2/5/2020,zoe
The Great British Baking Show: Collection 5: Forgotten Bakes Week,2/3/2020,zoe
The Great British Baking Show: Collection 5: Italian Week,2/1/2020,zoe
The Great British Baking Show: Collection 5: Pastry Week,2/1/2020,zoe
The Great British Baking Show: Collection 5: Pudding Week,2/1/2020,zoe
The Great British Baking Show: Collection 5: Caramel Week,2/1/2020,zoe
The Great British Baking Show: Collection 5: Bread Week,2/1/2020,zoe
The Great British Baking Show: Collection 4: Bread,1/31/2020,zoe
The Great British Baking Show: Collection 5: Biscuit Week,1/31/2020,zoe
The Great British Baking Show: Collection 5: Cake Week,1/25/2020,zoe
The Circle: Season 1: Anonymous Trolling,1/25/2020,zoe
The Great British Baking Show: Collection 3: Cake,1/24/2020,zoe
Killer Inside: The Mind of Aaron Hernandez: Limited Series: Episode 1,1/20/2020,zoe
The Bachelor: Season 13: Episode 1301,1/16/2020,zoe
You: Season 1: Pilot,1/16/2020,zoe
The Circle: Season 1: Sliding into DMs,1/16/2020,zoe
The Circle: Season 1: Planting Doubt,1/15/2020,zoe
The Crown: Season 1: Wolferton Splash,1/14/2020,zoe
The Circle: Season 1: There's a Catfish Among Us,1/13/2020,zoe
The Circle: Season 1: Face-to-Face,1/13/2020,zoe
"The Circle: Season 1: Hello, Circle",1/12/2020,zoe
Barbie in A Mermaid Tale,1/11/2020,zoe
The Irishman,1/11/2020,zoe
Dirty John: John Meehan: Approachable Dreams,1/10/2020,zoe
Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Cat and Mouse,1/10/2020,zoe
Schitt's Creek: Season 5: Life Is a Cabaret,1/9/2020,zoe
Schitt's Creek: Season 5: The Hike,1/9/2020,zoe
Schitt's Creek: Season 5: The Roast,1/9/2020,zoe
Schitt's Creek: Season 5: Meet the Parents,1/8/2020,zoe
Schitt's Creek: Season 5: Roadkill,1/8/2020,zoe
Schitt's Creek: Season 5: The M.V.P,1/8/2020,zoe
Schitt's Creek: Season 5: The Hospies,1/7/2020,zoe
Schitt's Creek: Season 5: A Whisper of Desire,1/6/2020,zoe
Schitt's Creek: Season 5: Rock On!,1/6/2020,zoe
Schitt's Creek: Season 5: Housewarming,1/6/2020,zoe
Schitt's Creek: Season 5: The Dress,1/6/2020,zoe
Schitt's Creek: Season 5: The Plant,1/6/2020,zoe
Schitt's Creek: Season 5: Love Letters,1/5/2020,zoe
Schitt's Creek: Season 5: The Crowening,1/5/2020,zoe
"Schitt's Creek: Season 4: Merry Christmas, Johnny Rose",1/5/2020,zoe
Schitt's Creek: Season 4: Singles Week,1/5/2020,zoe
Schitt's Creek: Season 4: The Rollout,1/5/2020,zoe
Schitt's Creek: Season 4: Baby Sprinkle,1/5/2020,zoe
Schitt's Creek: Season 4: The Olive Branch,1/4/2020,zoe
Schitt's Creek: Season 4: The Jazzaguy,1/4/2020,zoe
Schitt's Creek: Season 4: The Barbecue,1/4/2020,zoe
Schitt's Creek: Season 4: Open Mic,1/4/2020,zoe
Schitt's Creek: Season 4: RIP Moira Rose,1/4/2020,zoe
Schitt's Creek: Season 4: Girls’ Night,1/4/2020,zoe
Schitt's Creek: Season 4: Asbestos Fest,1/4/2020,zoe
Schitt's Creek: Season 4: Pregnancy Test,1/3/2020,zoe
Schitt's Creek: Season 4: Dead Guy in Room 4,1/3/2020,zoe
Schitt's Creek: Season 3: Grad Night,1/3/2020,zoe
Schitt's Creek: Season 3: Friends & Family,1/2/2020,zoe
Schitt's Creek: Season 3: Stop Saying Lice!,1/2/2020,zoe
Schitt's Creek: Season 3: Sebastien Raine,1/2/2020,zoe
Schitt's Creek: Season 3: The Affair,1/1/2020,zoe
Schitt's Creek: Season 3: Motel Review,1/1/2020,zoe
Schitt's Creek: Season 3: General Store,1/1/2020,zoe
Schitt's Creek: Season 3: Murder Mystery,1/1/2020,zoe
Schitt's Creek: Season 3: Rooms by the Hour,1/1/2020,zoe
Schitt's Creek: Season 3: Driving Test,1/1/2020,zoe
Schitt's Creek: Season 3: New Car,1/1/2020,zoe
Schitt's Creek: Season 3: The Throuple,1/1/2020,zoe
Schitt's Creek: Season 3: Opening Night,1/1/2020,zoe
Schitt's Creek: Season 2: Happy Anniversary,1/1/2020,zoe
Schitt's Creek: Season 2: Lawn Signs,1/1/2020,zoe
Friends: Season 1: The One with the Butt,12/31/2019,zoe
Friends: Season 1: The One with the East German Laundry Detergent,12/31/2019,zoe
Friends: Season 1: The One with George Stephanopoulos,12/31/2019,zoe
Friends: Season 1: The One with the Thumb,12/31/2019,zoe
Schitt's Creek: Season 2: The Motel Guest,12/31/2019,zoe
Spider-Man: Into the Spider-Verse,12/31/2019,zoe
Schitt's Creek: Season 2: Ronnie's Party,12/31/2019,zoe
Schitt's Creek: Season 2: Moira's Nudes,12/31/2019,zoe
Schitt's Creek: Season 2: Milk Money,12/27/2019,zoe
Schitt's Creek: Season 2: The Candidate,12/27/2019,zoe
Schitt's Creek: Season 2: Moira vs. Town Council,12/27/2019,zoe
Schitt's Creek: Season 2: Bob's Bagels,12/27/2019,zoe
Schitt's Creek: Season 2: Estate Sale,12/26/2019,zoe
Schitt's Creek: Season 2: Jazzagals,12/26/2019,zoe
Schitt's Creek: Season 2: Family Dinner,12/26/2019,zoe
Schitt's Creek: Season 2: Finding David,12/26/2019,zoe
Schitt's Creek: Season 1: Town for Sale,12/26/2019,zoe
Schitt's Creek: Season 1: Surprise Party,12/26/2019,zoe
Schitt's Creek: Season 1: Little Sister,12/25/2019,zoe
Schitt's Creek: Season 1: Honeymoon,12/25/2019,zoe
Schitt's Creek: Season 1: Carl's Funeral,12/25/2019,zoe
Schitt's Creek: Season 1: Allez-Vous,12/25/2019,zoe
Schitt's Creek: Season 1: Turkey Shoot,12/25/2019,zoe
Schitt's Creek: Season 1: Wine and Roses,12/25/2019,zoe
Schitt's Creek: Season 1: The Cabin,12/25/2019,zoe
Schitt's Creek: Season 1: Bad Parents,12/25/2019,zoe
"Schitt's Creek: Season 1: Don't Worry, It's His Sister",12/25/2019,zoe
Mad Men: Season 1: Smoke Gets in Your Eyes,12/24/2019,zoe
Marriage Story,12/22/2019,zoe
The Great British Baking Show: Holidays: Season 2: The Great Christmas Baking Show,12/20/2019,zoe
Salt,12/18/2019,zoe
The Informant!,12/17/2019,zoe
The Family: Limited Series: Submersion,12/17/2019,zoe
Patriot Act with Hasan Minhaj: Volume 5: Why We Can't Retire,12/15/2019,zoe
Zombieland,12/15/2019,zoe
The Great British Baking Show: Holidays: Season 1: The Great Christmas Baking Show,12/15/2019,zoe
The Great British Baking Show: Masterclass: Season 1: Masterclass 1,12/11/2019,zoe
When They See Us: Limited Series: Part One,12/11/2019,zoe
The Great British Baking Show: Collection 6: FINAL,12/8/2019,zoe
The Great British Baking Show: Collection 6: Patisserie Week,12/8/2019,zoe
The Great British Baking Show: Collection 6: Danish Week,12/8/2019,zoe
The Great British Baking Show: Collection 6: Vegan Week,12/7/2019,zoe
The Great British Baking Show: Collection 6: Pastry Week,12/7/2019,zoe
The Great British Baking Show: Collection 6: Spice Week,12/6/2019,zoe
The Great British Baking Show: Collection 6: Desserts Week,12/6/2019,zoe
"Singapore Social: Season 1: No Risk, No Reward",12/6/2019,zoe
Singapore Social: Season 1: Generation Asian,12/6/2019,zoe
The Great British Baking Show: Collection 6: Bread Week,12/4/2019,zoe
The Great British Baking Show: Collection 6: Cake Week,12/3/2019,zoe
Black Mirror: Season 2: White Bear,12/3/2019,zoe
The Great British Baking Show: Collection 7: Bread Week,12/2/2019,zoe
Black Mirror: Season 2: Be Right Back,12/2/2019,zoe
The Great British Baking Show: Collection 6: Biscuits Week,11/23/2019,zoe
The Great British Baking Show: Collection 7: Final,11/23/2019,zoe
The Great British Baking Show: Collection 7: Patisserie -- Semifinal,11/23/2019,zoe
The Great British Baking Show: Collection 7: Pastry Week,11/22/2019,zoe
The Great British Baking Show: Collection 7: Festival Week,11/21/2019,zoe
The Great British Baking Show: Collection 7: Desserts Week,11/21/2019,zoe
The Great British Baking Show: Collection 7: Roaring '20s Week,11/21/2019,zoe
The Great British Baking Show: Collection 7: Dairy Week,11/20/2019,zoe
Queer Eye: We're in Japan!: Season 1: The Ideal Woman,11/20/2019,zoe
The Great British Baking Show: Collection 7: Biscuits Week,11/20/2019,zoe
The Great British Baking Show: Collection 7: Cake Week,11/19/2019,zoe
"Billy on the Street: Season 2: Name Three White People!, with Rashida Jones",11/19/2019,zoe
"Breakfast, Lunch & Dinner: Season 1: Vancouver with Seth Rogen",11/17/2019,zoe
Queer Eye: We're in Japan!: Season 1: Bringing Sexy Back,11/17/2019,zoe
Derry Girls: Season 2: Episode 1,11/16/2019,zoe
Derry Girls: Season 1: Episode 1,11/16/2019,zoe
Jane The Virgin: Season 5: Chapter One Hundred,11/15/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-Nine,11/15/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-Eight,11/15/2019,zoe
The Princess and the Frog,11/13/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-Seven,11/12/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-Six,11/12/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-Five,11/12/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-Four,11/10/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-Three,11/10/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-Two,11/10/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety-One,11/10/2019,zoe
Jane The Virgin: Season 5: Chapter Ninety,11/10/2019,zoe
Jane The Virgin: Season 5: Chapter Eighty-Nine,11/10/2019,zoe
Jane The Virgin: Season 5: Chapter Eighty-Eight,11/10/2019,zoe
Jane The Virgin: Season 5: Chapter Eighty-Seven,11/9/2019,zoe
Jane The Virgin: Season 5: Chapter Eighty-Six,11/9/2019,zoe
Jane The Virgin: Season 5: Chapter Eighty-Five,11/9/2019,zoe
Jane The Virgin: Season 5: Chapter Eighty-Four,11/9/2019,zoe
Jane The Virgin: Season 5: Chapter Eighty-Three,11/9/2019,zoe
Queer Eye: We're in Japan!: Season 1: Crazy in Love,11/8/2019,zoe
Queer Eye: We're in Japan!: Season 1: Japanese Holiday,11/8/2019,zoe
Jane The Virgin: Season 5: Chapter Eighty-Two,11/6/2019,zoe
Jane The Virgin: Season 4: Chapter Eighty-One,11/4/2019,zoe
Jane The Virgin: Season 4: Chapter Eighty,11/4/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-Nine,11/4/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-Eight,11/4/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-Seven,11/2/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-Six,11/1/2019,zoe
Rhythm + Flow: Season 1: Collaborations,10/31/2019,zoe
Rhythm + Flow: Season 1: Samples,10/29/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-Five,10/28/2019,zoe
Jane The Virgin: Season 1: Chapter Two,10/26/2019,zoe
Jane The Virgin: Season 1: Chapter One: Pilot,10/26/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-Four,10/23/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-Three,10/22/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-Two,10/22/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy-One,10/21/2019,zoe
Jane The Virgin: Season 4: Chapter Seventy,10/20/2019,zoe
Jane The Virgin: Season 4: Chapter Sixty-Nine,10/20/2019,zoe
Jane The Virgin: Season 4: Chapter Sixty-Eight,10/20/2019,zoe
Jane The Virgin: Season 4: Chapter Sixty-Seven,10/20/2019,zoe
Jane The Virgin: Season 4: Chapter Sixty-Six,10/20/2019,zoe
Jane The Virgin: Season 4: Chapter Sixty-Five,10/20/2019,zoe
Jane The Virgin: Season 3: Chapter Sixty-Four,10/20/2019,zoe
Jane The Virgin: Season 3: Chapter Sixty-Three,10/20/2019,zoe
Jane The Virgin: Season 3: Chapter Sixty-Two,10/19/2019,zoe
Jane The Virgin: Season 3: Chapter Sixty-One,10/19/2019,zoe
Jane The Virgin: Season 3: Chapter Sixty,10/19/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-Nine,10/19/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-Eight,10/19/2019,zoe
MINDHUNTER: Season 1: Episode 2,10/19/2019,zoe
MINDHUNTER: Season 1: Episode 1,10/19/2019,zoe
Peaky Blinders: Season 1: Episode 1,10/19/2019,zoe
The Laundromat,10/19/2019,zoe
Rhythm + Flow: Season 1: Music Videos,10/19/2019,zoe
Rhythm + Flow: Season 1: Rap Battles,10/18/2019,zoe
Rhythm + Flow: Season 1: Cyphers,10/18/2019,zoe
Rhythm + Flow: Season 1: Chicago Auditions,10/18/2019,zoe
Rhythm + Flow: Season 1: Atlanta Auditions,10/17/2019,zoe
Rhythm + Flow: Season 1: New York Auditions,10/17/2019,zoe
Rhythm + Flow: Season 1: Los Angeles Auditions,10/17/2019,zoe
The Assassination of Gianni Versace: Season 1: The Man Who Would Be Vogue,10/16/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-Seven,10/16/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-Six,10/14/2019,zoe
Living Undocumented: Season 1: A Prayer in the Night,10/13/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-Five,10/12/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-Four,10/11/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-Three,10/11/2019,zoe
Stranger Things: Chapter Two: The Weirdo on Maple Street,10/5/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-Two,10/4/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty-One,10/4/2019,zoe
Jane The Virgin: Season 3: Chapter Fifty,10/4/2019,zoe
Jane The Virgin: Season 3: Chapter Forty-Nine,10/4/2019,zoe
The Last Kids on Earth: Book 1: The Last Kids on Earth,10/4/2019,zoe
Jane The Virgin: Season 3: Chapter Forty-Six,10/2/2019,zoe
Jane The Virgin: Season 3: Chapter Forty-Five,10/2/2019,zoe
Jane The Virgin: Season 2: Chapter Forty-Four,10/2/2019,zoe
Jane The Virgin: Season 2: Chapter Forty-Three,10/2/2019,zoe
Jane The Virgin: Season 2: Chapter Forty-Two,9/30/2019,zoe
Unbelievable: Limited Series: Episode 8,9/30/2019,zoe
Unbelievable: Limited Series: Episode 7,9/29/2019,zoe
Unbelievable: Limited Series: Episode 6,9/29/2019,zoe
Unbelievable: Limited Series: Episode 5,9/29/2019,zoe
Unbelievable: Limited Series: Episode 4,9/29/2019,zoe
Unbelievable: Limited Series: Episode 3,9/29/2019,zoe
Unbelievable: Limited Series: Episode 2,9/28/2019,zoe
The Politician: Season 1: Vienna,9/28/2019,zoe
The Politician: Season 1: The Assassination of Payton Hobart: Part 2,9/28/2019,zoe
The Politician: Season 1: The Assassination of Payton Hobart,9/28/2019,zoe
The Politician: Season 1: The Harrington Commode,9/27/2019,zoe
The Politician: Season 1: The Voter,9/27/2019,zoe
The Politician: Season 1: Gone Girl,9/27/2019,zoe
The Politician: Season 1: October Surprise,9/27/2019,zoe
Unbelievable: Limited Series: Episode 1,9/26/2019,zoe
Jane The Virgin: Season 2: Chapter Forty-One,9/26/2019,zoe
Jane The Virgin: Season 2: Chapter Forty,9/26/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-Nine,9/25/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-Eight,9/24/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-Seven,9/24/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-Six,9/23/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-Five,9/22/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-Four,9/22/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-Three,9/22/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-Two,9/22/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty-One,9/21/2019,zoe
Jane The Virgin: Season 2: Chapter Thirty,9/20/2019,zoe
Jane The Virgin: Season 2: Chapter Twenty-Nine,9/20/2019,zoe
Jane The Virgin: Season 2: Chapter Twenty-Eight,9/19/2019,zoe
Jane The Virgin: Season 2: Chapter Twenty-Seven,9/19/2019,zoe
Jane The Virgin: Season 2: Chapter Twenty-Six,9/18/2019,zoe
Jane The Virgin: Season 2: Chapter Twenty-Five,9/18/2019,zoe
Jane The Virgin: Season 2: Chapter Twenty-Four,9/18/2019,zoe
Jane The Virgin: Season 2: Chapter Twenty-Three,9/17/2019,zoe
